After CheckWin()

Generating moves for step 2, player B
Added Position: .WWW..BBB, Player: B, Moves: [b3-a2 b3-b2 c3-c2]
Added Position: W.W.W.BBB, Player: B, Moves: [a3-a2 a3-b2 c3-b2 c3-c2]
Added Position: WW...WBBB, Player: B, Moves: [a3-a2 b3-b2 b3-c2]
Generating moves for step 3, player W
Added Position: .WWB..B.B, Player: W, Moves: [b1-a2 b1-b2 c1-c2]
Added Position: .WWWB.B.B, Player: W, Moves: [c1-b2 c1-c2]
Added Position: .WWW.BBB., Player: W, Moves: [b1-b2 b1-c2 a2-b3]
Added Position: W.WBW..BB, Player: W, Moves: [c1-c2 b2-c3]
Added Position: W.W.B..BB, Player: W, Moves: [a1-a2 a1-b2 c1-b2 c1-c2]
Added Position: W.W.B.BB., Player: W, Moves: [a1-a2 a1-b2 c1-b2 c1-c2]
Added Position: W.W.WBBB., Player: W, Moves: [a1-a2 b2-a3]
Added Position: WW.B.W.BB, Player: W, Moves: [b1-a2 b1-b2 c2-b3]
Added Position: WW..BWB.B, Player: W, Moves: [a1-a2 a1-b2]
Added Position: WW...BB.B, Player: W, Moves: [a1-a2 b1-b2 b1-c2]
Generating moves for step 4, player B
Added Position: ..WWB.BB., Player: B, Moves: [b2-b1 b2-c1 b3-a2]
Added Position: ..W.W.BB., Player: B, Moves: [a3-a2 a3-b2]
Added Position: W...W.BB., Player: B, Moves: [a3-a2 a3-b2]
Added Position: W...BWBB., Player: B, Moves: [b2-a1 b2-b1 a3-a2 b3-c2]
Added Position: ..WWWBBB., Player: B, Moves: [a3-b2 b3-a2]
Added Position: W.W..BWB., Player: B, Moves: [b3-b2]
Added Position: ..WWB..BB, Player: B, Moves: [b2-b1 b2-c1 b3-a2 c3-c2]
Added Position: ..W.W..BB, Player: B, Moves: [c3-b2 c3-c2]
Added Position: W...W..BB, Player: B, Moves: [c3-b2 c3-c2]
Added Position: W...BW.BB, Player: B, Moves: [b2-a1 b2-b1 b3-c2]
Added Position: W..W.W.BB, Player: B, Moves: [b3-a2 b3-b2 b3-c2]
Added Position: W..BWW.BB, Player: B, Moves: [b3-c2 c3-b2]
Added Position: WW.B...WB, Player: B, Moves: [a2-b1 c3-c2]
Added Position: .W..WWB.B, Player: B, Moves: [a3-a2 a3-b2 c3-b2]
Added Position: .W.W.BB.B, Player: B, Moves: [c2-b1 c2-c1]
Added Position: W...WBB.B, Player: B, Moves: [c2-c1 a3-a2 a3-b2 c3-b2]
Added Position: W....WB.B, Player: B, Moves: [a3-a2]
Added Position: ..WW..B.B, Player: B, Moves: [c3-c2]
Added Position: ..WBW.B.B, Player: B, Moves: [a2-a1 a3-b2 c3-b2 c3-c2]
Added Position: .W.B.WB.B, Player: B, Moves: [a2-a1 a2-b1]
Added Position: .W.WW.B.B, Player: B, Moves: [a3-b2 c3-b2 c3-c2]
Added Position: ..WWWBBB., Player: B, Moves: [a3-b2 b3-a2]
Added Position: ..WW.WBB., Player: B, Moves: [b3-a2 b3-b2 b3-c2]
Added Position: .WW..BBW., Player: B, Moves: [c2-b1 a3-a2]
Added Position: W..BWW.BB, Player: B, Moves: [b3-c2 c3-b2]
Added Position: W.WB...BW, Player: B, Moves: [b3-b2]
Generating moves for step 5, player W
Added Position: .WBW..B.B, Player: W, Moves: [b1-b2]
Added Position: B.W.W.B.B, Player: W, Moves: [c1-c2 b2-a3 b2-b3 b2-c3]
Added Position: ..WBB...B, Player: W, Moves: [c1-b2 c1-c2]
Added Position: ..WBB.B.., Player: W, Moves: [c1-b2 c1-c2]
Added Position: ..WBWBB.., Player: W, Moves: [b2-a3 b2-b3]
Added Position: .BW...BW., Player: W, Moves: [c1-c2]
Added Position: ..WBW..B., Player: W, Moves: [c1-c2]
Added Position: ..W.B..B., Player: W, Moves: [c1-b2 c1-c2]
Added Position: ..WWBB.B., Player: W, Moves: [c1-b2 a2-a3 a2-b3]
Added Position: ..WBWBB.., Player: W, Moves: [b2-a3 b2-b3]
Added Position: WB.....WB, Player: W, Moves: [a1-a2]
Added Position: W...B..B., Player: W, Moves: [a1-a2 a1-b2]
Added Position: W...WB.B., Player: W, Moves: [a1-a2]
Added Position: B....W.BB, Player: W, Moves: [c2-b3]
Added Position: WB...W.BB, Player: W, Moves: [a1-a2 c2-b3]
Added Position: W...BB..B, Player: W, Moves: [a1-a2 a1-b2]
